Designator,Mid X,Mid Y,Rotation,Layer
C1,53.25,-201.5,180.0,top
C10,54.6,-175.525,0.0,top
C11,36.75,-212.5,0.0,top
C2,54.6,-190.525,180.0,top
C3,36.5,-227.79,180.0,top
C4,200.5,-279.499987,90.0,bottom
C5,200.0,-259.5,180.0,top
C6,46.0,-265.794887,90.0,bottom
C7,68.25,-168.25,0.0,top
C8,72.5,-276.25,0.0,top
C9,41.749987,-163.25,180.0,top
D1,34.8715,-250.9523,0.0,top
D10,41.0,-241.755,270.0,top
D11,36.5,-236.755,270.0,top
D12,36.5,-241.755,270.0,top
D13,124.75,-278.275,270.0,top
D14,218.45,-67.5,180.0,top
D15,112.75,-278.275,270.0,top
D16,100.75,-278.275,270.0,top
D17,31.25,-121.29,0.0,top
D18,31.25,-100.79,0.0,top
D2,40.8715,-250.9523,0.0,top
D3,46.8715,-250.9523,0.0,top
D4,52.6365,-250.9523,0.0,top
D5,35.04,-256.23,0.0,top
D6,41.04,-256.23,0.0,top
D7,46.79,-256.23,0.0,top
D8,52.54,-256.23,0.0,top
D9,41.0,-236.755,270.0,top
F1,194.35,-283.45,90.0,top
J1,218.6975,-303.55,180.0,bottom
J11,193.75,-307.385,0.0,bottom
J2,204.0375,-302.68,0.0,bottom
J3,30.2,-171.1,270.0,bottom
J4,216.63335,-282.7646,270.0,bottom
J5,218.5,-271.106,180.0,bottom
J6,218.25,-242.356,180.0,bottom
J7,217.5,-183.856,180.0,bottom
J8,215.13335,-194.7646,270.0,bottom
J9,155.0,-273.29,90.0,bottom
Q1,170.52,-308.21,90.0,top
Q2,220.0,-98.25,180.0,top
Q5,186.1875,-310.25,180.0,bottom
R1,35.901,-200.5,0.0,top
R10,200.099,-252.25,0.0,top
R11,207.75,-195.401,90.0,top
R12,43.75,-179.849,90.0,top
R15,186.599,-303.75,0.0,top
R16,186.599,-306.5,0.0,top
R17,220.349,-102.0,0.0,bottom
R18,220.349,-104.5,0.0,bottom
R2,43.349,-204.409,0.0,top
R3,54.449,-193.525,0.0,top
R4,54.449,-196.684,0.0,top
R5,35.849,-204.5,0.0,top
R6,36.099,-209.0,0.0,top
R7,42.75,-171.099,270.0,top
R8,55.849,-266.04,0.0,top
R9,200.099,-255.25,0.0,top
RV1,218.5,-257.04,180.0,bottom
RV2,218.25,-228.79,180.0,bottom
RV3,30.55,-183.775,0.0,bottom
S3,220.249999,-89.0,90.0,top
S4,220.628099,-151.33,90.0,top
SW1,43.99335,-118.94,90.0,top
SW10,31.25,-129.0494,0.0,top
SW11,31.25,-108.515,0.0,top
SW12,91.25,-264.68,180.0,top
SW13,106.25,-264.68,180.0,top
SW14,114.25,-264.68,180.0,top
SW15,122.25,-264.68,180.0,top
SW18,158.2,-264.43625,180.0,top
SW19,94.15,-187.78625,180.0,top
SW2,51.99335,-118.94,90.0,top
SW20,158.2,-187.78625,180.0,top
SW21,93.95,-212.48625,180.0,top
SW22,158.2,-212.48625,180.0,top
SW23,83.25,-264.63,180.0,top
SW24,75.25,-264.68,180.0,top
SW25,209.9072,-170.49,0.0,bottom
SW28,184.8,-288.23,0.0,top
SW29,172.7929,-288.23,0.0,top
SW3,59.99375,-118.94,90.0,top
SW30,160.7857,-288.23,0.0,top
SW31,148.7786,-288.23,0.0,top
SW32,136.7714,-288.23,0.0,top
SW33,124.7643,-288.23,0.0,top
SW34,112.7571,-288.23,0.0,top
SW35,100.75,-288.27,0.0,top
SW36,70.45,-288.23,0.0,top
SW37,78.45,-288.23,0.0,top
SW38,86.45,-288.23,0.0,top
SW39,220.2,-132.45,0.0,top
SW4,67.99375,-118.94,90.0,top
SW40,220.2,-118.75,0.0,top
SW5,75.99335,-118.94,90.0,top
SW6,35.95,-147.04,90.0,top
SW7,35.949,-139.0144,90.0,top
SW8,59.75,-160.25,0.0,top
SW9,51.75,-160.25,0.0,top
TP1,185.5,-317.5,0.0,top
TP2,210.25,-282.25,0.0,top
U1,52.75,-209.25,270.0,top
U10,199.775,-267.0,270.0,top
U2,54.35,-183.025,270.0,top
U3,58.035,-170.525,0.0,top
U4,65.75,-268.5,0.0,top
U5,36.5,-220.04,270.0,top
U6,48.6,-171.315,270.0,top
U7,47.25,-298.757263,0.0,top
U8,31.75,-73.29,90.0,bottom
U9,110.75,-165.54,0.0,bottom
mD1,79.675,-228.755,270.0,top
mD10,157.95,-178.99,270.0,top
mD11,93.95,-178.99,270.0,top
mD12,93.95,-199.24,270.0,top
mD13,93.95,-173.99,270.0,top
mD14,157.95,-199.24,270.0,top
mD15,93.95,-204.29,270.0,top
mD16,157.95,-204.24,270.0,top
mD17,157.95,-250.24,270.0,top
mD18,94.2,-250.24,270.0,top
mD19,157.95,-255.24,270.0,top
mD2,158.625,-228.755,270.0,top
mD20,94.2,-255.24,270.0,top
mD3,79.675,-241.755,270.0,top
mD4,158.625,-241.755,270.0,top
mD5,79.675,-223.755,270.0,top
mD6,158.625,-223.755,270.0,top
mD7,79.675,-236.755,270.0,top
mD8,158.625,-236.755,270.0,top
mD9,157.95,-173.99,270.0,top
