Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4",C_Rect_L11.0mm_W2.8mm_P10.00mm_MKT,3,0.1uF,
C2,CP_Radial_D5.0mm_P2.50mm,1,10uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D4, D5, D6, D7, D8, D9",LED_D3.0mm,32,LED,
F1,Fuse_Bourns_MF-RG300,1,Polyfuse,
J1,Wannenstecker_2x20_V,1,RaspiGPIO40,
J3,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
"Q1, Q2",SOT-23,2,BSS138,
"R1, R2, R5, R6",SM-1206B,4,6.8k,
"R3, R4",SM-1206B,2,12k,
"R7, R8",SM-1206B,2,20k,
"SW1, SW10, SW11, SW12, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_PUSH_and_LED_6mm_H8mm,12,SW_Push_LED,
U1,SSOP-28_5.3x10.2mm_P0.65mm,1,IS31FL3731-SA,
U2,AdaFruit_2x13_header,1,TCA8418RTWR-Module,
U3,WQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,1,TCA8418,
